CRN,Code,Title,Department,Credits,Description,Level,Prerequisites,Corequisites,Topics,Required for Majors,Learning Outcomes,Average GPA,Typical Semesters Offered,Difficulty Rating,Workload Hours/Week,Typical Class Size,Online Offering Available
20345,ENG157,"""Introduction to Fiction Writing""",ENG,4.0,"In this course, students will explore the fundamentals of fiction writing, including character development, plot structure, and setting creation. Through various writing exercises and workshops, students will develop their own creative writing skills and produce original works of fiction.",100,,MATH159,"1. Introduction to Literature
2. Writing and Composition
3. Literary Analysis
4. Poetry and Prose
5. Shakespeare and Renaissance Literature",CHEM Major|MATH Major,"1. Analyze the characteristics and themes of various literary genres and styles, including poetry, prose, and Shakespearean works| 
2. Demonstrate effective writing and composition skills through the creation of original literary pieces and critical essays| 
3. Apply literary analysis techniques to interpret and evaluate complex works of literature, emphasizing historical and cultural contexts.",3.164074304367301,Summer|Spring|Fall,1.814813043328452,9.712713566505291,73,False
49740,PHYS449,"""Quantum Mechanics and Applications""",PHYS,3.0,"This course introduces students to the fundamental principles of quantum mechanics and explores their applications in various fields such as chemistry, physics, and engineering. Topics covered may include wave-particle duality, quantum superposition, quantum entanglement, and quantum computing.",400,,,"1. Classical Mechanics
2. Thermodynamics and Statistical Mechanics
3. Electromagnetism
4. Quantum Mechanics
5. Astrophysics",ECON Major|CHEM Major,"1. Apply fundamental principles of classical mechanics to analyze and solve problems related to motion, forces, and energy in various physical systems|
2. Analyze and predict the behavior of macroscopic systems using principles of thermodynamics and statistical mechanics, including concepts of entropy, heat transfer, and phase transitions|
3. Explain and apply the laws of electromagnetism to describe the interactions of electric and magnetic fields, and to solve problems related to circuits, electromagnetic waves, and electromagnetic radiation|
4. Utilize the principles of quantum mechanics to understand the behavior of particles at the microscopic level, including wave-particle duality, quantum states, and quantum operators|
5. Evaluate and apply astrophysical theories and concepts to describe the properties of celestial objects, the structure",3.1984988219344856,Summer|Spring|Fall,1.5500090620424136,8.231237099838687,161,False
60530,ECON587,"""Advanced Topics in Economic Policy Analysis""",ECON,4.0,"This course delves into advanced economic policy analysis techniques, focusing on real-world applications and case studies. Students will learn how to evaluate the impacts of different policies on economic outcomes and explore the nuances of policy decision-making in various contexts.",500,ECON185|ECON147,,"1. Microeconomics
2. Macroeconomics
3. International Economics
4. Econometrics
5. Economic Development",CHEM Major|CS Major,"1. Apply microeconomic principles to analyze the behavior of individuals, firms, and markets in various economic situations|
2. Evaluate the impact of macroeconomic policies on economic indicators such as inflation, unemployment, and economic growth|
3. Analyze the causes and effects of international trade and financial flows on the global economy|
4. Utilize econometric techniques to analyze economic data and draw meaningful conclusions|
5. Assess the factors influencing economic development in different regions and propose strategies for sustainable growth.",3.165143670631309,Summer|Spring|Fall,1.8065871489899314,4.383393629884607,192,True
47591,CS133,"""Introduction to Programming Fundamentals""",CS,3.0,"This course provides a comprehensive introduction to programming concepts and fundamentals. Students will learn the basics of programming logic, problem-solving techniques, and algorithm development using a high-level programming language. Emphasis will be placed on building a strong foundation for future computer science courses.",100,,,"1. Algorithms and Data Structures
2. Computer Systems and Architecture
3. Software Engineering
4. Artificial Intelligence and Machine Learning
5. Cybersecurity and Information Assurance",ECON Major|CHEM Major|MATH Major,"1. Analyze and implement efficient algorithms and data structures to solve complex problems in various applications|
2. Evaluate and design computer systems and architecture components for optimal performance and scalability|
3. Apply software engineering principles and practices to develop reliable and maintainable software systems|
4. Implement artificial intelligence and machine learning algorithms to solve real-world problems and optimize decision-making processes|
5. Assess and implement cybersecurity measures to protect information systems and ensure data integrity and confidentiality.",3.1771087409895995,Summer|Spring|Fall,1.7145481462338457,9.719201052352089,98,True
92738,ENG310,"""Shakespearean Influences in Modern Literature""",ENG,4.0,"This course explores the enduring impact of William Shakespeare's works on modern literature. Students will analyze how Shakespearean themes, characters, and language continue to influence contemporary writers, providing insights into the evolution of storytelling and literary techniques.",300,ENG157|ENG270,,"1. Creative writing 
2. Literature analysis 
3. Rhetoric and composition 
4. Critical thinking 
5. Communication skills",BIO Major,"- Demonstrate the ability to craft original and engaging written work in various genres and styles through the practice of creative writing|
- Analyze and interpret literary texts from different time periods and cultures, while applying various critical theories and methodologies to deepen understanding and appreciation of literature|
- Develop effective rhetorical strategies and writing techniques to construct clear and persuasive arguments in academic and professional contexts|
- Apply critical thinking skills to evaluate and synthesize information from diverse sources, leading to well-reasoned and well-supported arguments|
- Enhance communication skills through effective written and oral presentations, fostering clarity, coherence, and engagement with diverse audiences.",3.064308263508327,Summer|Spring|Fall,2.5822441268590226,4.297110570824469,162,True
62128,ECON232,"""International Trade and Finance""",ECON,4.0,"This course explores the theories, policies, and practices of international trade and finance. Students will examine the impact of global markets, trade agreements, currency exchange rates, and financial institutions on the world economy. Emphasis will be placed on analyzing the complexities and challenges of conducting business across borders.",200,,CHEM274,"1. Microeconomics
2. Macroeconomics
3. Economic Theory
4. International Economics
5. Financial Economics",CS Major|ECON Major,"1. Analyze and apply fundamental principles of microeconomics to analyze individual consumer and firm behavior, market equilibrium, and resource allocation|
2. Evaluate the impact of macroeconomic variables such as GDP, inflation, and unemployment on the overall economy, and assess the effectiveness of various policy tools in managing economic fluctuations|
3. Demonstrate a deep understanding of economic theory by critically analyzing classical and modern economic theories, models, and concepts, and applying them to real-world economic issues|
4. Compare and contrast the economic policies and practices of different countries, and analyze the implications of international trade, finance, and globalization on the global economy|
5. Apply financial economic theories and tools to analyze financial markets, investment decisions, risk management strategies, and the behavior of",3.017609422478912,Summer|Spring|Fall,2.9414659809314463,6.150341607229498,69,True
17129,MATH536,"""Advanced Topics in Probability Theory""",MATH,3.0,"This advanced course in probability theory delves into intricate topics such as stochastic processes, Markov chains, and martingales. Students will explore complex concepts in probability theory and their applications in various fields such as finance, engineering, and biology.",500,MATH154,CHEM592,"1. Algebra
2. Calculus
3. Geometry
4. Statistics
5. Number theory",PHYS Major|ENG Major,"1. Solve complex algebraic equations using appropriate techniques and strategies|
2. Apply calculus concepts to analyze and solve real-world problems in various fields|
3. Demonstrate proficiency in geometric reasoning and problem-solving skills|
4. Analyze and interpret statistical data to make informed decisions and draw meaningful conclusions|
5. Utilize number theory concepts to explore patterns, relationships, and properties of integers.",2.9914688309731727,Summer|Spring|Fall,3.142547454052522,8.792860342819154,47,False
33836,MATH554,"""Advanced Topics in Linear Algebra""",MATH,3.0,"This course delves into advanced concepts in linear algebra, focusing on topics such as eigenvalues, eigenvectors, matrix factorizations, and applications to computer science and physics. Students will develop a deeper understanding of linear transformations, vector spaces, and the theoretical underpinnings of the subject.",500,,,"1. Calculus
2. Algebra
3. Geometry
4. Probability and Statistics
5. Differential Equations",MATH Major,"1. Apply calculus concepts to solve real-world problems, including optimization, related rates, and areas under curves|
2. Analyze and solve algebraic equations and inequalities, including linear systems, polynomials, and rational expressions|
3. Demonstrate understanding of geometric principles and the ability to apply them to solve geometric problems|
4. Interpret and analyze data using probability and statistics concepts, including probability distributions, hypothesis testing, and regression analysis|
5. Solve differential equations using various methods, including separation of variables, integrating factors, and Laplace transforms.",2.9416064638717523,Summer|Spring|Fall,3.5261041240634388,7.573299104489045,162,True
82952,ENG355,"""Modern American Literature: Themes and Perspectives""",ENG,3.0,"This course delves into the diverse themes and perspectives found in modern American literature, exploring works from the late 19th century to the present day. Students will analyze how authors address key social, cultural, and historical issues, and examine the evolution of literary styles and movements in the American literary landscape.",300,,BIO347,"1. Literature analysis
2. Academic writing
3. Creative writing
4. English language and grammar
5. Literary theory and criticism",,"1. Analyze various literary works from different genres and time periods to identify themes, literary devices, and underlying messages|
2. Produce well-structured academic essays that effectively communicate ideas, support arguments with evidence, and adhere to academic writing conventions|
3. Demonstrate proficiency in crafting original and engaging creative writing pieces across different genres such as fiction, poetry, and creative nonfiction|
4. Apply advanced knowledge of English language and grammar rules to effectively communicate ideas, analyze texts, and produce polished written work|
5. Evaluate literary texts through the application of diverse literary theories and critical perspectives to deepen understanding and interpretation of literature.",3.09553574384436,Summer|Spring|Fall,2.3420327396587637,4.100269133694514,91,True
63396,ECON588,"Title: ""Advanced Topics in Economic Analysis""",ECON,3.0,"This course delves into advanced economic theories and analytical techniques to provide students with a deeper understanding of economic principles. Topics may include game theory, behavioral economics, econometrics, and more, preparing students for complex economic analysis in various real-world contexts.",500,ECON340|ECON185,ENG514,"1. Microeconomics
2. Macroeconomics
3. International Economics
4. Econometrics
5. Development Economics",BIO Major,"1. Analyze the fundamental principles of microeconomics to understand how individuals and firms make decisions in a market economy|
2. Evaluate the impact of macroeconomic policies on national economies, including fiscal and monetary policies, inflation, and unemployment|
3. Critically assess the role of international trade and finance in the global economy, including exchange rates, trade agreements, and balance of payments|
4. Apply econometric methods to analyze economic data, test hypotheses, and make informed policy recommendations|
5. Examine the key theories and issues in development economics, including poverty, inequality, and sustainable development strategies.",2.7897312887313395,Summer|Spring|Fall,4.694374702066618,10.366355767809479,121,True
17292,HIST410,"""The Cold War and the Global South""",HIST,3.0,"This course explores the impact of the Cold War on countries in the Global South, focusing on political, economic, and cultural dynamics. Students will analyze how Cold War rivalries played out in regions such as Latin America, Africa, and Asia, and examine the lasting legacies of this period on international relations.",400,HIST339,CHEM447,"1. Ancient Civilizations
2. Medieval History
3. Modern World History
4. History of the United States
5. Globalization and World History",CS Major,"1. Analyze the social, political, and cultural aspects of ancient civilizations to understand their impact on shaping human history|
2. Evaluate the major events and developments of medieval history in Europe and beyond to examine the interconnectedness of societies during this period|
3. Compare and contrast key historical events, ideologies, and movements that have shaped the modern world, emphasizing global perspectives and influences|
4. Critically examine the history of the United States, including key figures, events, and policies, to gain a comprehensive understanding of the nation's evolution|
5. Assess the impact of globalization on world history, including economic, political, and cultural transformations, to analyze the interconnected nature of contemporary societies.",2.794721949620294,Summer|Spring|Fall,4.655985002920821,4.809391334767241,168,False
41665,CS518,"""Advanced Topics in Machine Learning""",CS,4.0,"This course delves into advanced concepts and techniques in machine learning, including deep learning, reinforcement learning, and unsupervised learning. Students will explore cutting-edge research and applications while developing a deeper understanding of complex machine learning algorithms.",500,CS138,ECON511,"1. Programming fundamentals
2. Data structures and algorithms
3. Database management
4. Computer networks
5. Software engineering and design",PHYS Major,"1. Analyze and apply foundational programming concepts and principles to solve real-world problems|
2. Evaluate, design, and implement data structures and algorithms to optimize efficiency and performance in software development|
3. Demonstrate proficiency in database management techniques, including data modeling, querying, and normalization|
4. Explain the principles and protocols of computer networks, and design and troubleshoot network configurations|
5. Collaborate in a team setting to plan, develop, and test software systems following software engineering best practices and design principles.",2.815861550389172,Summer|Spring|Fall,4.493372689314067,10.025406625664289,134,False
89322,ENG564,"""Advanced Topics in Modern American Literature and Culture""",ENG,3.0,"This course delves deeply into contemporary American literature and culture, exploring advanced topics such as postmodernism, identity politics, and social justice issues. Students will critically engage with a diverse range of texts and media to analyze the complexities of modern American society.",500,,,"1. Literature analysis and interpretation
2. Writing skills development
3. Literary genres and styles
4. Critical thinking and argumentation
5. Language and linguistics",PHYS Major|CS Major,"1. Apply advanced techniques in literature analysis to interpret complex texts effectively|
2. Demonstrate proficiency in developing and refining writing skills across various genres and formats|
3. Analyze and differentiate between different literary genres and styles, integrating them into written work|
4. Employ critical thinking skills to construct well-reasoned arguments based on literary analysis|
5. Evaluate language structures and linguistic features to deepen understanding of texts and communicate effectively.",3.2644287381674535,Summer|Spring|Fall,1.0428558602503477,3.523424330464865,197,False
51212,BIO613,"""Advanced Topics in Evolutionary Biology""",BIO,4.0,"This course delves into cutting-edge research and discussions in evolutionary biology, exploring advanced concepts such as molecular evolution, phylogenetics, and evolutionary ecology. Students will analyze current literature, conduct independent research projects, and engage in critical thinking to deepen their understanding of the mechanisms driving biological evolution.",600,BIO347,CHEM695,"1. Cell biology
2. Genetics
3. Evolution
4. Ecology
5. Human anatomy and physiology",CS Major|MATH Major,"1. Analyze the structure and function of cells, including organelles and cellular processes, in order to understand the fundamental principles of cell biology|
2. Evaluate patterns of inheritance, genetic variation, and molecular mechanisms of gene expression to comprehend the principles of genetics|
3. Critically assess the processes of evolution, including natural selection and speciation, to explain the diversity of life on Earth|
4. Apply ecological concepts, such as population dynamics and community interactions, to analyze the relationships between organisms and their environments|
5. Demonstrate a comprehensive understanding of human anatomy and physiology, including organ systems and physiological processes essential for maintaining homeostasis in the human body.",3.0337211020815267,Summer|Spring|Fall,2.8175299839882593,5.803006923731372,157,True
34767,CHEM699,"""Advanced Topics in Quantum Chemistry""",CHEM,4.0,"This advanced course delves into the intricate concepts and mathematical tools of quantum chemistry, exploring topics such as molecular orbital theory, electronic structure calculations, and spectroscopic techniques. Students will gain a deeper understanding of the principles governing chemical reactivity and molecular behavior at the quantum level.",600,CHEM311,MATH687,"1. General Chemistry
2. Organic Chemistry
3. Physical Chemistry
4. Inorganic Chemistry
5. Analytical Chemistry",BIO Major|PHYS Major,"1. Apply fundamental principles of general chemistry to analyze and solve complex chemical problems|
2. Demonstrate proficiency in naming, synthesizing, and predicting reactions in organic chemistry|
3. Utilize mathematical and theoretical concepts to explain physical phenomena in chemical systems|
4. Analyze the properties and behaviors of inorganic compounds based on their structure and bonding|
5. Develop skills in using various analytical techniques to characterize and quantify chemical substances accurately.",3.0311800071670376,Summer|Spring|Fall,2.8370768679458647,14.033758959197556,124,False
94308,MATH200,"""Advanced Calculus and Mathematical Analysis""",MATH,5.0,"This course delves deeper into the theory and applications of advanced calculus and mathematical analysis. Topics may include multivariable calculus, differential equations, sequences and series, and rigorous proofs of key theorems in calculus. Students will develop a strong foundation in advanced mathematical techniques essential for further study in mathematics and related fields.",200,MATH154|MATH156,BIO218,"1. Algebra
2. Calculus
3. Geometry
4. Probability and Statistics
5. Number Theory",CS Major|PHYS Major,"1. Apply algebraic techniques to solve complex mathematical problems involving equations, inequalities, and operations on polynomials and rational expressions|
2. Analyze and compute limits, derivatives, and integrals in calculus to model and solve real-world problems in various disciplines|
3. Utilize geometric principles to solve problems related to shapes, sizes, measurements, and spatial relationships in both two and three dimensions|
4. Interpret and analyze data using probability and statistical methods to make informed decisions and predictions in various contexts|
5. Demonstrate an understanding of fundamental concepts in number theory, including prime numbers, divisibility, and modular arithmetic, to solve advanced mathematical problems.",2.916807015468109,Summer|Spring|Fall,3.716869111783774,5.437551056608934,58,True
46472,MATH616,"""Advanced Topics in Nonlinear Optimization""",MATH,4.0,"This advanced course delves into the theory and applications of nonlinear optimization techniques, exploring topics such as convex optimization, gradient descent methods, and constrained optimization problems. Students will gain a deeper understanding of optimization algorithms and their practical implementations in various fields.",600,,CHEM699,"1. Algebra
2. Calculus
3. Geometry
4. Probability and Statistics
5. Linear Algebra",CHEM Major|MATH Major,"1. Apply algebraic concepts to solve real-world problems by simplifying expressions, solving equations, and manipulating functions|
2. Analyze and apply calculus techniques, including differentiation and integration, to solve problems in various fields such as science, engineering, and economics|
3. Demonstrate proficiency in geometric reasoning and spatial visualization through the analysis of shapes, angles, and theorems|
4. Interpret and communicate statistical data by utilizing probability distributions, hypothesis testing, and regression analysis|
5. Utilize linear algebra techniques to solve systems of linear equations, perform matrix operations, and analyze vector spaces.",3.259008987514614,Summer|Spring|Fall,1.0845462498875804,8.780114318880026,174,True
83425,BIO347,"""Evolutionary Ecology and Behavior""",BIO,3.0,"This course delves into the intricate relationship between ecology and behavior within an evolutionary framework. Students will explore how natural selection shapes behaviors and traits in animals and plants, and how these adaptations influence ecological interactions and species diversity. Through case studies and hands-on research opportunities, students will gain a deep understanding of the dynamic interplay between organisms and their environments.",300,BIO287|BIO218,MATH332,"1. Cell biology
2. Genetics
3. Ecology
4. Evolution
5. Physiology",HIST Major,"1. Analyze the fundamental principles of cell biology to explain cellular structures and functions|
2. Apply genetic concepts and techniques to solve problems related to inheritance and genetic variation|
3. Evaluate ecological relationships and interactions within ecosystems to understand the interconnectedness of organisms and their environment|
4. Compare and contrast evolutionary processes to illustrate biodiversity and adaptation in living organisms|
5. Demonstrate an understanding of physiological mechanisms and their role in maintaining homeostasis in living organisms.",2.975612088325058,Summer|Spring|Fall,3.2645223974995505,14.460470935522322,193,False
13855,PHYS374,"""Advanced Topics in Quantum Mechanics""",PHYS,3.0,"This course delves into advanced topics in quantum mechanics, exploring concepts such as quantum entanglement, quantum computing, and quantum information theory. Students will engage in theoretical discussions and problem-solving exercises to deepen their understanding of this complex and fascinating field of physics.",300,PHYS164|PHYS207,HIST339,"1. Mechanics
2. Thermodynamics
3. Electromagnetism
4. Quantum Mechanics
5. Astrophysics",PHYS Major,"1. Apply fundamental principles of mechanics to solve complex problems in physics|
2. Analyze the behavior of systems based on thermodynamic principles and laws|
3. Evaluate electromagnetic phenomena and their effects on matter and energy|
4. Explain the principles and mathematical formalism of quantum mechanics|
5. Interpret and analyze astrophysical phenomena using key concepts from astrophysics.",3.101334649773935,Summer|Spring|Fall,2.2974257709697277,14.878885994752961,142,False
51610,PHYS135,"""Introduction to Classical Mechanics""",PHYS,3.0,"This course introduces students to the fundamental principles of classical mechanics, including Newton's laws of motion and the conservation of energy and momentum. Through theoretical concepts and problem-solving exercises, students will develop a strong foundation in understanding the motion of objects and systems in the physical world.",100,,,"1. Mechanics
2. Thermodynamics
3. Electromagnetism
4. Quantum mechanics
5. Astrophysics",CHEM Major|ECON Major|ENG Major,"1. Apply fundamental principles of mechanics to solve complex problems in various physical systems|
2. Analyze and predict changes in thermodynamic systems using the laws of thermodynamics|
3. Demonstrate proficiency in applying principles of electromagnetism to understand and analyze electromagnetic phenomena|
4. Explain key concepts and principles of quantum mechanics and apply them to solve quantum mechanical problems|
5. Evaluate and analyze astrophysical phenomena using theoretical models and observational data.",2.795765789334944,Summer|Spring|Fall,4.647955466654277,9.898855130714002,97,False
90434,PHYS699,"""Advanced Topics in Quantum Field Theory""",PHYS,3.0,"This course delves into advanced concepts in quantum field theory, focusing on topics such as renormalization, gauge theories, and symmetry breaking. Students will explore cutting-edge research in the field and develop a deeper understanding of the mathematical and theoretical underpinnings of quantum field theory.",600,PHYS181,,"1. Mechanics
2. Thermodynamics
3. Electricity and Magnetism
4. Quantum Mechanics
5. Astrophysics",PHYS Major|ENG Major,"1. Analyze and apply fundamental principles of mechanics to solve complex problems in physics|
2. Evaluate and demonstrate an understanding of thermodynamic concepts and their applications in different systems|
3. Utilize mathematical techniques to solve problems related to electricity and magnetism in various scenarios|
4. Explain the key principles and phenomena of quantum mechanics and their implications in modern technology and research|
5. Critically analyze and interpret the principles of astrophysics to explain the behavior and evolution of celestial objects and systems.",2.9025319531537375,Summer|Spring|Fall,3.826677283432784,11.94102305022907,178,True
